Title:,"Time Series, Area-Averaged of Daily minimum air temperature daily 0.125 deg. [NCA-LDAS Model (daily)"
User Start Date:,2016-01-01T00:00:00Z
User End Date:,2024-12-31T23:59:59Z
User Bounding Box:,"-108.237,27.6681,-104.8752,31.821"
Data Bounding Box:,"-108.188,27.6875,-104.938,31.8125"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2016-01-01T00:00:00Z&endtime=2024-12-31T23:59:59Z&bbox=-108.237,27.6681,-104.8752,31.821&data=NCALDAS_NOAH0125_D_2_0_Tair_f_min%2CNCALDAS_NOAH0125_D_2_0_Tair_f_max%2CNLDAS_FORA0125_H_2_0_Rainf%2CM2TMNXSLV_5_12_4_U10M%2CM2TMNXSLV_5_12_4_V10M&portal=GIOVANNI&format=json"
Fill Value (mean_NCALDAS_NOAH0125_D_2_0_Tair_f_min):, -9999

time, mean_NCALDAS_NOAH0125_D_2_0_Tair_f_min
2016-01-01,277.366394
2016-01-02,275.14856
2016-01-03,274.832245
2016-01-04,276.709564
2016-01-05,277.319489
2016-01-06,278.313751
2016-01-07,274.796143
2016-01-08,275.652466
2016-01-09,271.483398
2016-01-10,272.280029
2016-01-11,273.579987
2016-01-12,271.835297
2016-01-13,273.136536
2016-01-14,273.984741
2016-01-15,274.121033
2016-01-16,274.117767
2016-01-17,276.608765
2016-01-18,276.999481
2016-01-19,278.246735
2016-01-20,278.659149
2016-01-21,277.022156
2016-01-22,275.100098
2016-01-23,276.73764
2016-01-24,278.526764
2016-01-25,276.26532
2016-01-26,276.712189
2016-01-27,273.262604
2016-01-28,273.109619
2016-01-29,276.157654
2016-01-30,277.689453
2016-01-31,278.55896
2016-02-01,279.623627
2016-02-02,273.527069
2016-02-03,269.879059
2016-02-04,270.423706
2016-02-05,272.358368
2016-02-06,272.523346
2016-02-07,275.565216
2016-02-08,278.496094
2016-02-09,276.591187
2016-02-10,278.214386
2016-02-11,279.92981
2016-02-12,281.063019
2016-02-13,280.516296
2016-02-14,281.137878
2016-02-15,280.203857
2016-02-16,281.396393
2016-02-17,282.242462
2016-02-18,283.395294
2016-02-19,285.824951
2016-02-20,287.379547
2016-02-21,287.291077
2016-02-22,283.580688
2016-02-23,279.920807
2016-02-24,274.896851
2016-02-25,277.403534
2016-02-26,278.651001
2016-02-27,280.875641
2016-02-28,281.441528
2016-02-29,282.155975
2016-03-01,281.836304
2016-03-02,283.275696
2016-03-03,283.057739
2016-03-04,283.546753
2016-03-05,283.827637
2016-03-06,282.679382
2016-03-07,280.508423
2016-03-08,279.633698
2016-03-09,277.01059
2016-03-10,279.836548
2016-03-11,280.470032
2016-03-12,280.983612
2016-03-13,279.039368
2016-03-14,280.87674
2016-03-15,282.785187
2016-03-16,284.629974
2016-03-17,283.867554
2016-03-18,283.9487
2016-03-19,282.238098
2016-03-20,278.95163
2016-03-21,279.68576
2016-03-22,283.28421
2016-03-23,282.285156
2016-03-24,278.713867
2016-03-25,280.433502
2016-03-26,279.904572
2016-03-27,281.277374
2016-03-28,282.190826
2016-03-29,281.889679
2016-03-30,282.573303
2016-03-31,278.547699
2016-04-01,277.773987
2016-04-02,276.471466
2016-04-03,278.916565
2016-04-04,283.414764
2016-04-05,284.72998
2016-04-06,286.006989
2016-04-07,287.597229
2016-04-08,288.017059
2016-04-09,284.540619
2016-04-10,285.076416
2016-04-11,280.60376
2016-04-12,284.844635
2016-04-13,281.784912
2016-04-14,285.126129
2016-04-15,284.681152
2016-04-16,281.828888
2016-04-17,280.744385
2016-04-18,281.853729
2016-04-19,283.314178
2016-04-20,285.493927
2016-04-21,285.762787
2016-04-22,288.283112
2016-04-23,287.272675
2016-04-24,285.513733
2016-04-25,284.423126
2016-04-26,283.877167
2016-04-27,280.631683
2016-04-28,283.457611
2016-04-29,281.395447
2016-04-30,280.28949
2016-05-01,282.400299
2016-05-02,281.419708
2016-05-03,283.08548
2016-05-04,286.028625
2016-05-05,287.334534
2016-05-06,288.731537
2016-05-07,288.713104
2016-05-08,285.7052
2016-05-09,282.759552
2016-05-10,285.076935
2016-05-11,287.401398
2016-05-12,290.20694
2016-05-13,291.534637
2016-05-14,291.425446
2016-05-15,290.719696
2016-05-16,287.904327
2016-05-17,288.171967
2016-05-18,286.313843
2016-05-19,285.20285
2016-05-20,286.498444
2016-05-21,288.380981
2016-05-22,288.109039
2016-05-23,289.137085
2016-05-24,288.912323
2016-05-25,289.623047
2016-05-26,289.222931
2016-05-27,285.047607
2016-05-28,286.034882
2016-05-29,291.821014
2016-05-30,290.535248
2016-05-31,290.730652
2016-06-01,289.245789
2016-06-02,288.781738
2016-06-03,290.805756
2016-06-04,292.266876
2016-06-05,291.820618
2016-06-06,291.568146
2016-06-07,292.633392
2016-06-08,292.668488
2016-06-09,292.874664
2016-06-10,293.246582
2016-06-11,293.711151
2016-06-12,293.838257
2016-06-13,294.491516
2016-06-14,294.017151
2016-06-15,293.683075
2016-06-16,293.445618
2016-06-17,292.795959
2016-06-18,293.972412
2016-06-19,294.204529
2016-06-20,293.793762
2016-06-21,293.241211
2016-06-22,294.968048
2016-06-23,296.36087
2016-06-24,295.49469
2016-06-25,294.720886
2016-06-26,295.190125
2016-06-27,295.251648
2016-06-28,294.057983
2016-06-29,293.33847
2016-06-30,293.460754
2016-07-01,294.205231
2016-07-02,294.394257
2016-07-03,293.896515
2016-07-04,295.763153
2016-07-05,296.19281
2016-07-06,295.955719
2016-07-07,295.681854
2016-07-08,295.520721
2016-07-09,295.951263
2016-07-10,295.500397
2016-07-11,295.393494
2016-07-12,295.536926
2016-07-13,296.179871
2016-07-14,296.008392
2016-07-15,296.379547
2016-07-16,295.418671
2016-07-17,294.733582
2016-07-18,294.651947
2016-07-19,294.633911
2016-07-20,294.774811
2016-07-21,294.768188
2016-07-22,294.640137
2016-07-23,294.925568
2016-07-24,294.785492
2016-07-25,295.654022
2016-07-26,295.256439
2016-07-27,295.693939
2016-07-28,294.565491
2016-07-29,293.749023
2016-07-30,292.993652
2016-07-31,292.785034
2016-08-01,293.60611
2016-08-02,294.535858
2016-08-03,294.368347
2016-08-04,294.859406
2016-08-05,295.007385
2016-08-06,294.704346
2016-08-07,294.93457
2016-08-08,295.647095
2016-08-09,295.131073
2016-08-10,291.897644
2016-08-11,290.322449
2016-08-12,291.990509
2016-08-13,294.376099
2016-08-14,289.853607
2016-08-15,289.445404
2016-08-16,290.607361
2016-08-17,290.811523
2016-08-18,290.109253
2016-08-19,290.089264
2016-08-20,290.842072
2016-08-21,292.089294
2016-08-22,291.425812
2016-08-23,292.339355
2016-08-24,291.507111
2016-08-25,292.323669
2016-08-26,291.183685
2016-08-27,292.105499
2016-08-28,292.028015
2016-08-29,292.630859
2016-08-30,290.563934
2016-08-31,289.309448
2016-09-01,288.675262
2016-09-02,291.052307
2016-09-03,292.594818
2016-09-04,293.562836
2016-09-05,293.092102
2016-09-06,290.074982
2016-09-07,288.890533
2016-09-08,289.76532
2016-09-09,291.283752
2016-09-10,292.46698
2016-09-11,290.418121
2016-09-12,291.191498
2016-09-13,290.463013
2016-09-14,291.824402
2016-09-15,292.264465
2016-09-16,291.570801
2016-09-17,292.288666
2016-09-18,292.828857
2016-09-19,292.952026
2016-09-20,292.389923
2016-09-21,292.365082
2016-09-22,290.826111
2016-09-23,289.625153
2016-09-24,289.850372
2016-09-25,287.968384
2016-09-26,284.117828
2016-09-27,283.101471
2016-09-28,287.316864
2016-09-29,290.045532
2016-09-30,289.231079
2016-10-01,288.646576
2016-10-02,289.381805
2016-10-03,290.501984
2016-10-04,288.197052
2016-10-05,286.810242
2016-10-06,288.463806
2016-10-07,289.860596
2016-10-08,287.861389
2016-10-09,287.453766
2016-10-10,288.798035
2016-10-11,290.277618
2016-10-12,290.255493
2016-10-13,289.942291
2016-10-14,289.482056
2016-10-15,289.04126
2016-10-16,288.956573
2016-10-17,288.608978
2016-10-18,287.162598
2016-10-19,287.934448
2016-10-20,288.923157
2016-10-21,283.87677
2016-10-22,285.417694
2016-10-23,287.428314
2016-10-24,288.209656
2016-10-25,289.111176
2016-10-26,289.017059
2016-10-27,287.568604
2016-10-28,286.142578
2016-10-29,286.979004
2016-10-30,288.500763
2016-10-31,286.266052
2016-11-01,285.965332
2016-11-02,287.450562
2016-11-03,285.37793
2016-11-04,286.476868
2016-11-05,285.790619
2016-11-06,285.074646
2016-11-07,283.308655
2016-11-08,284.283936
2016-11-09,279.941498
2016-11-10,279.379608
2016-11-11,281.028839
2016-11-12,280.695435
2016-11-13,281.005341
2016-11-14,282.214661
2016-11-15,282.134613
2016-11-16,282.852631
2016-11-17,284.254181
2016-11-18,281.651703
2016-11-19,278.365753
2016-11-20,279.407043
2016-11-21,282.379944
2016-11-22,282.034149
2016-11-23,279.301025
2016-11-24,280.581757
2016-11-25,281.387878
2016-11-26,280.666138
2016-11-27,283.127533
2016-11-28,278.312836
2016-11-29,278.341309
2016-11-30,275.378632
2016-12-01,275.974365
2016-12-02,279.266022
2016-12-03,279.847015
2016-12-04,276.936981
2016-12-05,276.601105
2016-12-06,277.309967
2016-12-07,278.650116
2016-12-08,279.666504
2016-12-09,274.485718
2016-12-10,277.797791
2016-12-11,279.164612
2016-12-12,281.240692
2016-12-13,281.083374
2016-12-14,281.116058
2016-12-15,281.381592
2016-12-16,280.751831
2016-12-17,281.415253
2016-12-18,275.56015
2016-12-19,276.824341
2016-12-20,277.117645
2016-12-21,282.022095
2016-12-22,282.342377
2016-12-23,282.246246
2016-12-24,279.541229
2016-12-25,278.389465
2016-12-26,276.055542
2016-12-27,278.809875
2016-12-28,282.180328
2016-12-29,283.593658
2016-12-30,280.536163
2016-12-31,280.702911
